name,description,price,image,category,ingredients,isAvailable,source
"Комбо «Я один»","Пиде с беконом + картофель фри + напиток Tan",1700,"/images/kombo-ya-odin.jpg","Комбо","Пиде с беконом,Картофель фри,Напиток Tan",true,"buy.am"
"Комбо «Мы вдвоем»","2 пиде (пепперони + 2 мяса) + 2 напитка Tan",2900,"/images/kombo-my-vdvoyom.jpg","Комбо","Пиде пепперони,Пиде 2 мяса,2 напитка Tan",true,"buy.am"
"Комбо «Мы голодны»","2 пиде с бастурмой + 2 куриные легкие пиде + картофель фри + кока-кола",4900,"/images/kombo-my-golodny.jpg","Комбо","2 пиде с бастурмой,2 куриные легкие пиде,Картофель фри,Кока-кола",true,"buy.am"
"Комбо «Мы очень голодны»","4 пиде пепперони + 4 классических сырных пиде + картофель фри + куриный попкорн",7900,"/images/kombo-my-ochen-golodny.jpg","Комбо","4 пиде пепперони,4 классических сырных пиде,Картофель фри,Куриный попкорн",true,"buy.am"
"2 мяса пиде","Пиде с двумя видами мяса, зеленым перцем и помидорами черри",950,"/images/2-myasa-pide.jpg","Пиде","Тесто,2 вида мяса,Зеленый перец,Помидоры черри,Сыр",true,"buy.am"
"Пиде с беконом","Пиде с хрустящим беконом, сыром и маринованными огурцами",950,"/images/pide-s-bekonom.jpg","Пиде","Тесто,Бекон,Сыр,Маринованные огурцы",true,"buy.am"
"Пиде с говядиной","Пиде с фаршем из говядины, зеленью и помидорами черри",950,"/images/pide-s-govyadinoj.jpg","Пиде","Тесто,Говяжий фарш,Зелень,Помидоры черри,Сыр",true,"buy.am"
"Классическое сырное пиде","Традиционное пиде с расплавленным сыром и помидорами черри",700,"/images/classic-chees.jpg","Пиде","Тесто,Сыр,Помидоры черри",true,"buy.am"
"Кавказский пиде","Пиде с белым сыром, зеленью и помидорами черри",750,"/images/caucasus-cheese.jpg","Пиде","Тесто,Белый сыр,Зелень,Помидоры черри",true,"buy.am"
"Куриные легкие пиде","Пиде с курицей, сладким перцем и помидорами черри",800,"/images/kurinye-legkie-pide.jpg","Пиде","Тесто,Курица,Сладкий перец,Помидоры черри,Сыр",true,"buy.am"
"Пиде с бастурмой","Пиде с бастурмой, сыром и зеленым перцем",950,"/images/pide-s-basturmoj.jpg","Пиде","Тесто,Бастурма,Сыр,Зеленый перец",true,"buy.am"
